Fecha,Codigo,Tipo_pago,Monto_total,Ganancia_neta,Detalle_venta
2025-02-07 08:04:03 PM,6,Efectivo,"170,000","70,000","Producto: parlante aibimy my27, cantidad: 1
"
2025-03-14 01:50:11 PM,7,Efectivo,"12,000","7,000","Producto: fdsfd, cantidad: 1
"
2025-03-14 02:45:23 PM,8,Efectivo,"59,000","34,000","Producto: diadema motivo bluetooth, cantidad: 1
"
2025-03-25 01:58:03 PM,13,Efectivo,"5,000","10,000","Producto: cubo de carga 5w 1am, cantidad: 1
"
2025-03-25 03:28:14 PM,14,Efectivo,"20,000","50,000","Producto: cargador tipo c carga rapida , cantidad: 2
"
2025-03-25 06:12:08 PM,15,Efectivo,"8,000","27,000","Producto: cargador iphone 5w , cantidad: 1
"
2025-03-26 05:40:23 PM,16,Efectivo,"12,000","8,000","Producto: cable v8 intermedio, cantidad: 1
"
2025-03-27 12:52:29 PM,24,Efectivo,"35,000","19,000","Producto: cable hdmi 5m, cantidad: 1
"
2025-03-28 11:49:44 AM,25,Efectivo,"20,000","15,000","Producto: silicone samsung a13 4g, cantidad: 1
"
2025-03-28 01:22:56 PM,26,Efectivo,"40,000","33,000","Producto: silicone xiaomi redmi 10, cantidad: 1
Producto: vidrio blindado, cantidad: 1
"
2025-03-28 04:10:13 PM,27,Efectivo,"5,000","4,000","Producto: sim card , cantidad: 1
"
2025-03-28 05:26:45 PM,28,Efectivo,"110,000","70,000","Producto: cubo carga iphone original, cantidad: 1
"
2025-03-28 06:31:52 PM,29,Efectivo,"20,000","18,000","Producto: vidrio blindado, cantidad: 1
"
2025-03-28 06:48:20 PM,30,Efectivo,"25,000","15,000","Producto: vaporizador priv bar , cantidad: 1
"
2025-03-28 06:55:58 PM,31,Efectivo,"25,000","17,000","Producto: cable tipo c generico iphone, cantidad: 1
"
2025-03-28 07:07:56 PM,32,Efectivo,"10,000","7,000","Producto: cargador sencillo v8, cantidad: 1
"
2025-03-28 07:33:49 PM,33,Efectivo,"20,000","12,000","Producto: audifonos chupo colores , cantidad: 1
"
2025-03-29 11:44:39 AM,34,Efectivo,"15,000","15,000","Producto: silicone samsung a30s a50, cantidad: 1
"
2025-03-29 11:46:06 AM,35,Efectivo,"10,000","9,000","Producto: vidrio 5d sencillo, cantidad: 1
"
2025-03-29 11:53:52 AM,36,Efectivo,"25,000","17,000","Producto: estuche cargador iphone, cantidad: 1
"
2025-03-29 11:56:26 AM,37,Efectivo,"120,000","70,000","Producto: reparacion display 50, cantidad: 1
"
2025-03-29 01:02:39 PM,38,Efectivo,"25,000","15,000","Producto: vaporizador priv bar , cantidad: 1
"
2025-03-29 01:39:14 PM,39,Efectivo,"20,000","15,000","Producto: silicone xiaomi note 9, cantidad: 1
"
2025-03-29 01:45:17 PM,40,Efectivo,"20,000","16,000","Producto: space iphone 14 pro max, cantidad: 1
"
2025-03-29 02:06:42 PM,41,Efectivo,"50,000","36,000","Producto: silicone iphone 13 14 15 , cantidad: 1
Producto: estuche cargador iphone sencillo, cantidad: 1
Producto: ojitos camaras iphone , cantidad: 2
"
2025-03-29 02:18:12 PM,42,Efectivo,"40,000","40,000","Producto: reparacion celular 40, cantidad: 1
"
2025-03-29 02:27:45 PM,43,Efectivo,"140,000","86,000","Producto: space samsung a14, cantidad: 1
Producto: reparacion display 50, cantidad: 1
"
2025-03-29 02:31:36 PM,44,Efectivo,"20,000","16,000","Producto: space iphone 11, cantidad: 1
"
2025-03-29 03:05:28 PM,45,Efectivo,"25,000","15,000","Producto: vaporizador priv bar , cantidad: 1
"
2025-03-29 03:15:18 PM,46,Efectivo,"80,000","62,000","Producto: estuche iphone 13 14 15 hombre, cantidad: 2
Producto: vidrio blindado, cantidad: 1
"
2025-03-29 03:17:50 PM,47,Efectivo,"20,000","15,000","Producto: silicone iphone 13 pro max, cantidad: 1
"
2025-03-29 03:18:12 PM,48,Efectivo,"10,000","8,000","Producto: ojitos camaras iphone , cantidad: 2
"
2025-03-29 03:32:56 PM,49,Efectivo,"20,000","15,000","Producto: silicone samsung a35, cantidad: 1
"
2025-03-29 03:52:25 PM,50,Efectivo,"18,000","10,000","Producto: vaporizador lost vape , cantidad: 1
"
2025-03-29 03:57:20 PM,51,Efectivo,"38,000","19,000","Producto: vaporizador mtrx, cantidad: 1
"
2025-03-29 05:06:22 PM,52,Efectivo,"150,000","70,000","Producto: watch on tv box 4k, cantidad: 1
"
2025-03-29 05:19:18 PM,53,Efectivo,"18,000","10,000","Producto: vaporizador lost vape , cantidad: 1
"
2025-03-29 05:27:20 PM,54,Efectivo,"20,000","18,000","Producto: vidrio blindado, cantidad: 1
"
2025-03-29 06:05:01 PM,55,Efectivo,"30,000","25,000","Producto: cargador iphone generico boss, cantidad: 1
"
2025-03-29 06:05:27 PM,56,Efectivo,"65,000","35,000","Producto: audifonos fly f150 pro, cantidad: 1
"
2025-03-29 06:30:00 PM,57,Efectivo,"120,000","60,000","Producto: reparacion bateria, cantidad: 2
"
2025-03-29 07:01:58 PM,58,Efectivo,"30,000","30,000","Producto: reparacion 30, cantidad: 1
"
2025-03-29 08:05:12 PM,59,Efectivo,"25,000","15,000","Producto: vaporizador priv bar , cantidad: 1
"
2025-03-31 10:55:03 AM,60,Efectivo,"135,000","75,000","Producto: airpods pro 2 carga rapida, cantidad: 1
Producto: vaporizador priv bar , cantidad: 1
"
2025-03-31 10:55:28 AM,61,Efectivo,"10,000","9,000","Producto: vidrio 5d sencillo, cantidad: 1
"
2025-03-31 11:06:28 AM,62,Efectivo,"10,000","9,000","Producto: vidrio 5d sencillo, cantidad: 1
"
2025-03-31 11:26:37 AM,63,Efectivo,"35,000","23,000","Producto: cubo generico iphone 20w, cantidad: 1
"
2025-03-31 12:39:40 PM,64,Efectivo,"18,000","12,000","Producto: cable tipo c carga rapida , cantidad: 1
"
2025-03-31 01:32:33 PM,65,Efectivo,"35,000","23,000","Producto: cubo generico iphone 20w, cantidad: 1
"
2025-03-31 01:33:31 PM,66,Efectivo,"25,000","15,000","Producto: vaporizador priv bar , cantidad: 1
"
2025-03-31 02:24:00 PM,67,Efectivo,"25,000","23,000","Producto: vidrio antiespia , cantidad: 1
"
2025-03-31 03:02:16 PM,68,Efectivo,"60,000","60,000","Producto: reparacion 30, cantidad: 2
"
2025-03-31 03:10:55 PM,69,Efectivo,"70,000","50,000","Producto: cable tipo c iphone original , cantidad: 1
"
2025-03-31 04:03:40 PM,70,Efectivo,0,0,"Producto: xiaomi smart  band 9 active, cantidad: 1 ANULADO
"
2025-03-31 04:09:56 PM,71,Efectivo,"18,000","12,000","Producto: cargador tipo c sencillo, cantidad: 1
"
2025-03-31 04:34:34 PM,72,Efectivo,"25,000","15,000","Producto: vaporizador priv bar , cantidad: 1
"
2025-03-31 06:23:40 PM,73,Efectivo,"120,000","70,000","Producto: reparacion display 50, cantidad: 1
"
2025-03-31 06:55:12 PM,74,Efectivo,"55,000","38,000","Producto: estuche lujo iphone 13 14 15 mujer, cantidad: 1
Producto: vidrio blindado, cantidad: 1
"
2025-03-31 07:47:36 PM,75,Efectivo,"20,000","15,000","Producto: silicone xiaomi poco x6 pro , cantidad: 1
"
2025-03-31 08:32:36 PM,76,Efectivo,"15,000","11,000","Producto: audifonos samsung s8 generico, cantidad: 1
"
2025-04-01 09:26:22 AM,77,Efectivo,"18,000","12,000","Producto: cargador tipo c sencillo, cantidad: 1
"
2025-04-01 11:33:01 AM,78,Efectivo,"20,000","15,000","Producto: silicone samsung a55, cantidad: 1
"
2025-04-01 12:11:20 PM,79,Efectivo,"318,000","110,000","Producto: vaporizador lost vape , cantidad: 1
Producto: celular zte blade a34, cantidad: 1
"
2025-04-01 01:06:44 PM,80,Efectivo,"35,000","29,000","Producto: cargador iphone generico boss, cantidad: 1
Producto: sim card , cantidad: 1
"
2025-04-01 01:10:05 PM,81,Efectivo,"20,000","16,000","Producto: space iphone 11 pro max, cantidad: 1
"
